date,P_in
6/1/2025,0
6/2/2025,0
6/3/2025,0.27
6/4/2025,0.25
6/5/2025,0.33
6/6/2025,0.14
6/7/2025,0
6/8/2025,0
6/9/2025,0
6/10/2025,0
6/11/2025,0
6/12/2025,0.06
6/13/2025,0.03
6/14/2025,0.03
6/15/2025,0
6/16/2025,0
6/17/2025,0.4
6/18/2025,0
6/19/2025,0
6/20/2025,0
6/21/2025,0
6/22/2025,0
6/23/2025,0
6/24/2025,0
6/25/2025,0.25
6/26/2025,0
6/27/2025,0
6/28/2025,0
6/29/2025,0
6/30/2025,0
7/1/2025,0
7/2/2025,0
7/3/2025,0
7/4/2025,0.1
7/5/2025,0.04
7/6/2025,0
7/7/2025,0
7/8/2025,0
7/9/2025,0
7/10/2025,0
7/11/2025,0.01
7/12/2025,0.02
7/13/2025,0
7/14/2025,0
7/15/2025,0
7/16/2025,0.04
7/17/2025,0.03
7/18/2025,0.03
7/19/2025,0
7/20/2025,0
7/21/2025,0
7/22/2025,0.28
7/23/2025,0.18
7/24/2025,0.01
7/25/2025,0
7/26/2025,0
7/27/2025,0
7/28/2025,0
7/29/2025,0
7/30/2025,0.1
7/31/2025,0
8/1/2025,0
8/2/2025,0
8/3/2025,0
8/4/2025,0
8/5/2025,0
8/6/2025,0
8/7/2025,0
8/8/2025,0
8/9/2025,0
8/10/2025,0.18
8/11/2025,0.02
8/12/2025,0
8/13/2025,0
8/14/2025,0
8/15/2025,0
8/16/2025,0
8/17/2025,0.02
8/18/2025,0
8/19/2025,0
8/20/2025,0
8/21/2025,0
8/22/2025,0.03
8/23/2025,0
8/24/2025,0.01
8/25/2025,0.17
8/26/2025,0.08
,
